2021-07-14_10-19-23 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.0.Final
2021-07-14_10-19-23 [restartedMain] INFO  com.cognizant.iptm.IptmApplication - Starting IptmApplication using Java 15.0.2 on LAPTOP-HOHLDBL4 with PID 12024 (C:\Users\Admin\Documents\Eclipse\IPTM\target\classes started by Shubham M Bhatnagar in C:\Users\Admin\Documents\Eclipse\IPTM)
2021-07-14_10-19-23 [restartedMain] INFO  com.cognizant.iptm.IptmApplication - No active profile set, falling back to default profiles: default
2021-07-14_10-19-23 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2021-07-14_10-19-23 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2021-07-14_10-19-23 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2021-07-14_10-19-23 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 428 ms. Found 8 JPA repository interfaces.
2021-07-14_10-19-23 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2021-07-14_10-19-23 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2021-07-14_10-19-23 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2021-07-14_10-19-23 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.48]
2021-07-14_10-19-23 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-07-14_10-19-23 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 18053 ms
2021-07-14_10-19-23 [restartedMain] INFO  o.a.catalina.core.StandardService - Stopping service [Tomcat]
2021-07-14_10-19-23 [restartedMain] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2021-07-14_10-22-36 [restartedMain] INFO  com.cognizant.iptm.IptmApplication - Starting IptmApplication using Java 15.0.2 on LAPTOP-HOHLDBL4 with PID 9196 (C:\Users\Admin\Documents\Eclipse\IPTM\target\classes started by Shubham M Bhatnagar in C:\Users\Admin\Documents\Eclipse\IPTM)
2021-07-14_10-22-36 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.0.Final
2021-07-14_10-22-36 [restartedMain] INFO  com.cognizant.iptm.IptmApplication - No active profile set, falling back to default profiles: default
2021-07-14_10-22-36 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2021-07-14_10-22-36 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2021-07-14_10-22-36 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
